Order	Super kindom	Strain name	Release date	SEQ count	CAS count	CRISPR count	Assembly description	Number of spacers	Number of self-targeting spacers
541	Bacteria	Blautia hansenii DSM 20583 (firmicutes)	2017-08	1	1	4	|GCA_002222595.2|GCF_002222595.2|Blautia hansenii DSM 20583 (firmicutes)|CP022413.2|ANONYMOUS Chromosome	33	0
542	Bacteria	Blautia producta (firmicutes) PMF1	2019-02	1	1	13	|GCA_004210255.1||Blautia producta (firmicutes) PMF1|CP035945.1|ANONYMOUS Chromosome	60	0
543	Bacteria	Blautia sp. YL58 (firmicutes)	2017-04	1	1	5	|GCA_001689125.2|GCF_001689125.2|Blautia sp. YL58 (firmicutes)|CP015405.2|ANONYMOUS Chromosome	18	2
544	Bacteria	blood disease bacterium A2-HR MARDI (b-proteobacteria)	2017-03	2	1	3	|GCA_002012345.1|GCF_002012345.1|blood disease bacterium A2-HR MARDI (b-proteobacteria)|CP019911.1|ANONYMOUS Chromosome|CP019912.1|unnamed Plasmid	5	0
545	Bacteria	Bordetella genomosp. 13 (b-proteobacteria) AU7206	2017-05	1	1	4	|GCA_002119665.1|GCF_002119665.1|Bordetella genomosp. 13 (b-proteobacteria) AU7206|CP021111.1|ANONYMOUS Chromosome	48	0
546	Bacteria	Bordetella pseudohinzii (b-proteobacteria) HI4681	2016-08	2	1	2	|GCA_001698185.1|GCF_001698185.1|Bordetella pseudohinzii (b-proteobacteria) HI4681|CP016441.1|unnamed1 Plasmid|CP016440.1|ANONYMOUS Chromosome	20	0
547	Bacteria	Bordetella sp. J329 (b-proteobacteria)	2019-01	1	1	1	|GCA_004006215.1||Bordetella sp. J329 (b-proteobacteria)|CP021250.1|ANONYMOUS Chromosome	17	0
548	Bacteria	Bosea sp. RAC05 (a-proteobacteria)	2016-08	2	1	4	|GCA_001713455.1|GCF_001713455.1|Bosea sp. RAC05 (a-proteobacteria)|CP016463.1|pBSY19_1 Plasmid|CP016464.1|ANONYMOUS Chromosome	39	0
549	Bacteria	Brachybacterium sp. VM2412 (high GC Gram+)	2017-10	1	1	10	|GCA_002407185.1|GCF_002407185.1|Brachybacterium sp. VM2412 (high GC Gram+)|CP023563.1|ANONYMOUS Chromosome	77	0
550	Bacteria	Brachyspira murdochii DSM 12563 (bacteria)	2010-05	1	1	3	|GCA_000092845.1|GCF_000092845.1|Brachyspira murdochii DSM 12563 (bacteria)|CP001959.1|ANONYMOUS Chromosome	42	0
551	Bacteria	Bradymonas sediminis (d-proteobacteria) FA350	2018-06	1	1	12	|GCA_003258315.1||Bradymonas sediminis (d-proteobacteria) FA350|CP030032.1|ANONYMOUS Chromosome	64	0
552	Bacteria	Brevefilum fermentans (GNS bacteria)	2017-06	1	1	6	|GCA_900184705.1|GCF_900184705.1|Brevefilum fermentans (GNS bacteria)|LT859958.1|I Chromosome	32	0
553	Bacteria	Brevibacillus agri (firmicutes) DSM 6348	2019-01	1	2	9	|GCA_004117055.1||Brevibacillus agri (firmicutes) DSM 6348|CP026363.1|ANONYMOUS Chromosome	181	5
554	Bacteria	Brevibacillus laterosporus (firmicutes) E7593-50	2018-09	2	1	2	|GCA_003590075.1||Brevibacillus laterosporus (firmicutes) E7593-50|CP032411.1|pAZOBL1 Plasmid|CP032410.1|ANONYMOUS Chromosome	12	0
555	Bacteria	Brevibacillus sp. SCSIO 07484 (firmicutes)	2018-12	2	0	7	|GCA_003963515.1||Brevibacillus sp. SCSIO 07484 (firmicutes)|CP034541.1|ANONYMOUS Chromosome|CP034542.1|unnamed Plasmid	53	0
556	Bacteria	Brochothrix thermosphacta (firmicutes) BI	2017-09	1	1	8	|GCA_002381265.1|GCF_002381265.1|Brochothrix thermosphacta (firmicutes) BI|CP023483.1|ANONYMOUS Chromosome	23	2
557	Bacteria	Brochothrix thermosphacta (firmicutes) BII	2017-10	1	1	8	|GCA_002442515.1|GCF_002442515.1|Brochothrix thermosphacta (firmicutes) BII|CP023643.1|ANONYMOUS Chromosome	23	0
558	Bacteria	Brochothrix thermosphacta (firmicutes) TMW 2.1564	2016-08	2	1	8	|GCA_001703515.1||Brochothrix thermosphacta (firmicutes) TMW 2.1564|CP016839.1|ANONYMOUS Chromosome|CP016840.1|pL21564-1 Plasmid	4	0
559	Bacteria	Burkholderia glumae PG1 (b-proteobacteria)	2015-02	2	1	7	|GCA_000835205.1|GCF_000835205.1|Burkholderia glumae PG1 (b-proteobacteria)|CP002581.1|2 Chromosome|CP002580.1|1 Chromosome	45	0
560	Bacteria	Burkholderiales bacterium GJ-E10 (b-proteobacteria)	2014-11	1	1	4	|GCA_000828975.1|GCF_000828975.1|Burkholderiales bacterium GJ-E10 (b-proteobacteria)|AP014683.1|ANONYMOUS Chromosome	15	0
561	Bacteria	Burkholderiales bacterium YL45 (b-proteobacteria)	2017-04	1	1	6	|GCA_001688905.2|GCF_001688905.2|Burkholderiales bacterium YL45 (b-proteobacteria)|CP015403.2|ANONYMOUS Chromosome	94	0
562	Bacteria	Burkholderia plantarii (b-proteobacteria) ATCC 43733	2015-10	3	1	5	|GCA_001411805.1|GCF_001411805.1|Burkholderia plantarii (b-proteobacteria) ATCC 43733|CP007213.1|2 Chromosome|CP007214.1|bpln_1p Plasmid|CP007212.1|1 Chromosome	33	1
563	Bacteria	Burkholderia sp. KK1 (b-proteobacteria)	2017-02	8	1	4	|GCA_001988975.1|GCF_001988975.1|Burkholderia sp. KK1 (b-proteobacteria)|CP015999.1|I Chromosome|CP016000.1|II Chromosome|CP016001.1|III Chromosome|CP016006.1|pkk5 Plasmid|CP016004.1|pkk3 Plasmid|CP016005.1|pkk4 Plasmid|CP016003.1|pkk2 Plasmid|CP016002.1|pkk1 Plasmid	21	0
564	Bacteria	Burkholderia sp. PAMC 26561 (b-proteobacteria)	2016-02	8	1	3	|GCA_001557535.2||Burkholderia sp. PAMC 26561 (b-proteobacteria)|CP014309.1|unnamed2 Plasmid|CP014315.1|3 Chromosome|CP014312.1|unnamed5 Plasmid|CP014306.1|1 Chromosome|CP014308.1|unnamed1 Plasmid|CP014307.1|2 Chromosome|CP014311.1|unnamed4 Plasmid|CP014310.1|unnamed3 Plasmid	84	0
565	Bacteria	Burkholderia sp. PAMC 28687 (b-proteobacteria) PAMC28687	2016-02	8	1	1	|GCA_001577465.1|GCF_001577465.1|Burkholderia sp. PAMC 28687 (b-proteobacteria) PAMC28687|CP014512.1|5 Plasmid|CP014511.1|4 Plasmid|CP014510.1|3_2 Plasmid|CP014507.1|3_1 Chromosome|CP014509.1|2_2 Plasmid|CP014506.1|2_1 Chromosome|CP014508.1|1_2 Plasmid|CP014505.1|1_1 Chromosome	17	0
566	Bacteria	Burkholderia sp. RPE64 (b-proteobacteria)	2013-05	5	0	2	|GCA_000402035.1|GCF_000402035.1|Burkholderia sp. RPE64 (b-proteobacteria)|AP013062.1|p2 Plasmid|AP013061.1|p1 Plasmid|AP013060.1|3 Chromosome|AP013059.1|2 Chromosome|AP013058.1|1 Chromosome	14	0
567	Bacteria	Burkholderia sp. RPE67 (b-proteobacteria)	2014-05	6	1	4	|GCA_000828875.1|GCF_000828875.1|Burkholderia sp. RPE67 (b-proteobacteria)|AP014581.1|p3 Plasmid|AP014580.1|p2 Plasmid|AP014579.1|p1 Plasmid|AP014578.1|3 Chromosome|AP014577.1|2 Chromosome|AP014576.1|1 Chromosome	46	2
568	Bacteria	Burkholderia sp. YI23 (b-proteobacteria)	2011-11	6	1	8	|GCA_000236065.1|GCF_000236065.1|Burkholderia sp. YI23 (b-proteobacteria)|CP003091.1|byi_2p Plasmid|CP003087.1|1 Chromosome|CP003090.1|byi_1p Plasmid|CP003088.1|2 Chromosome|CP003092.1|byi_3p Plasmid|CP003089.1|3 Chromosome	46	2
569	Bacteria	Butyrivibrio fibrisolvens 16/4 (firmicutes)	2010-03	1	1	1	|GCA_000209815.1|GCF_000209815.1|Butyrivibrio fibrisolvens 16/4 (firmicutes)|FP929036.1|ANONYMOUS Chromosome	22	0
570	Bacteria	Butyrivibrio hungatei (firmicutes) MB2003	2016-10	4	1	8	|GCA_001858005.1|GCF_001858005.1|Butyrivibrio hungatei (firmicutes) MB2003|CP017833.1|pNP6 Plasmid|CP017832.1|pNP144 Plasmid|CP017830.1|II Chromosome|CP017831.1|I Chromosome	38	2
571	Bacteria	Caldanaerobacter subterraneus subsp. tengcongensis MB4 (firmicutes)	2002-05	1	2	4	|GCA_000007085.1|GCF_000007085.1|Caldanaerobacter subterraneus subsp. tengcongensis MB4 (firmicutes)|AE008691.1|ANONYMOUS Chromosome	301	0
572	Bacteria	Caldicellulosiruptor bescii DSM 6725 (firmicutes)	2009-02	3	4	9	|GCA_000022325.1|GCF_000022325.1|Caldicellulosiruptor bescii DSM 6725 (firmicutes)|CP001395.1|pATHE02 Plasmid|CP001394.1|pATHE01 Plasmid|CP001393.1|ANONYMOUS Chromosome	279	0
573	Bacteria	Caldicellulosiruptor changbaiensis (firmicutes) CBS-Z	2019-01	1	4	11	|GCA_003999255.1||Caldicellulosiruptor changbaiensis (firmicutes) CBS-Z|CP034791.1|ANONYMOUS Chromosome	105	0
574	Bacteria	Caldicellulosiruptor hydrothermalis 108 (firmicutes)	2010-11	1	4	6	|GCA_000166355.1|GCF_000166355.1|Caldicellulosiruptor hydrothermalis 108 (firmicutes)|CP002219.1|ANONYMOUS Chromosome	159	0
575	Bacteria	Caldicellulosiruptor kristjanssonii I77R1B (firmicutes)	2010-11	2	6	12	|GCA_000166695.1|GCF_000166695.1|Caldicellulosiruptor kristjanssonii I77R1B (firmicutes)|CP002326.1|ANONYMOUS Chromosome|CP002327.1|pCALKR01 Plasmid	401	0
576	Bacteria	Caldicellulosiruptor kronotskyensis 2002 (firmicutes)	2010-11	1	4	8	|GCA_000166775.1|GCF_000166775.1|Caldicellulosiruptor kronotskyensis 2002 (firmicutes)|CP002330.1|ANONYMOUS Chromosome	242	0
577	Bacteria	Caldicellulosiruptor lactoaceticus 6A (firmicutes)	2011-08	1	5	12	|GCA_000193435.3|GCF_000193435.2|Caldicellulosiruptor lactoaceticus 6A (firmicutes)|CP003001.1|ANONYMOUS Chromosome	306	0
578	Bacteria	Caldicellulosiruptor obsidiansis OB47 (firmicutes)	2010-08	1	4	10	|GCA_000145215.1|GCF_000145215.1|Caldicellulosiruptor obsidiansis OB47 (firmicutes)|CP002164.1|ANONYMOUS Chromosome	300	0
579	Bacteria	Caldicellulosiruptor owensensis OL (firmicutes)	2010-11	1	2	3	|GCA_000166335.1|GCF_000166335.1|Caldicellulosiruptor owensensis OL (firmicutes)|CP002216.1|ANONYMOUS Chromosome	95	0
580	Bacteria	Caldicellulosiruptor saccharolyticus DSM 8903 (firmicutes)	2007-04	1	5	12	|GCA_000016545.1|GCF_000016545.1|Caldicellulosiruptor saccharolyticus DSM 8903 (firmicutes)|CP000679.1|ANONYMOUS Chromosome	296	0
581	Bacteria	Caldilinea aerophila DSM 14535 = NBRC 104270 (GNS bacteria)	2012-03	1	3	17	|GCA_000281175.1|GCF_000281175.1|Caldilinea aerophila DSM 14535 = NBRC 104270 (GNS bacteria)|AP012337.1|ANONYMOUS Chromosome	661	0
582	Bacteria	Caldimicrobium thiodismutans (bacteria) TF1	2016-01	1	0	4	|GCA_001548275.1|GCF_001548275.1|Caldimicrobium thiodismutans (bacteria) TF1|AP014945.1|Unknown Chromosome	20	0
583	Bacteria	Caldisericum exile AZM16c01 (bacteria)	2012-03	1	1	2	|GCA_000284335.1|GCF_000284335.1|Caldisericum exile AZM16c01 (bacteria)|AP012051.1|ANONYMOUS Chromosome	22	0
584	Bacteria	Calditerrivibrio nitroreducens DSM 19672 (bacteria)	2010-11	2	1	4	|GCA_000183405.1|GCF_000183405.1|Calditerrivibrio nitroreducens DSM 19672 (bacteria)|CP002348.1|pCALNI01 Plasmid|CP002347.1|ANONYMOUS Chromosome	53	0
585	Bacteria	Caldithrix abyssi DSM 13497 (bacteria)	2012-01	1	3	7	|GCA_000241815.1|GCF_000241815.1|Caldithrix abyssi DSM 13497 (bacteria)|CM001402.1|Calabscaffold_1 Chromosome	89	0
586	Bacteria	Caldithrix abyssi DSM 13497 (bacteria) LF13	2016-11	1	3	7	|GCA_001886815.1|GCF_001886815.1|Caldithrix abyssi DSM 13497 (bacteria) LF13|CP018099.1|ANONYMOUS Chromosome	89	0
587	Archaea	Caldivirga maquilingensis IC-167 (crenarchaeotes)	2007-10	1	1	8	|GCA_000018305.1|GCF_000018305.1|Caldivirga maquilingensis IC-167 (crenarchaeotes)|CP000852.1|ANONYMOUS Chromosome	35	0
588	Bacteria	Calothrix brevissima NIES-22 (cyanobacteria)	2017-06	9	3	45	|GCA_002367995.1|GCF_002367995.1|Calothrix brevissima NIES-22 (cyanobacteria)|AP018210.1|plasmid3 Plasmid|AP018214.1|plasmid7 Plasmid|AP018215.1|plasmid8 Plasmid|AP018212.1|plasmid5 Plasmid|AP018207.1|ANONYMOUS Chromosome|AP018209.1|plasmid2 Plasmid|AP018213.1|plasmid6 Plasmid|AP018211.1|plasmid4 Plasmid|AP018208.1|plasmid1 Plasmid	275	0
589	Bacteria	Calothrix parasitica NIES-267 (cyanobacteria)	2017-06	6	4	52	|GCA_002368095.1|GCF_002368095.1|Calothrix parasitica NIES-267 (cyanobacteria)|AP018232.1|plasmid5 Plasmid|AP018231.1|plasmid4 Plasmid|AP018230.1|plasmid3 Plasmid|AP018229.1|plasmid2 Plasmid|AP018228.1|plasmid1 Plasmid|AP018227.1|ANONYMOUS Chromosome	170	0
590	Bacteria	Calothrix sp. 336/3 (cyanobacteria)	2015-05	4	2	20	|GCA_000734895.2|GCF_000734895.2|Calothrix sp. 336/3 (cyanobacteria)|CP011385.1|unnamed3 Plasmid|CP011384.1|unnamed2 Plasmid|CP011383.1|unnamed1 Plasmid|CP011382.1|ANONYMOUS Chromosome	43	0
591	Bacteria	Calothrix sp. NIES-2098 (cyanobacteria)	2017-06	2	2	20	|GCA_002368175.1|GCF_002368175.1|Calothrix sp. NIES-2098 (cyanobacteria)|AP018172.1|ANONYMOUS Chromosome|AP018173.1|plasmid1 Plasmid	85	0
592	Bacteria	Calothrix sp. NIES-2100 (cyanobacteria)	2017-06	2	3	65	|GCA_002368195.1|GCF_002368195.1|Calothrix sp. NIES-2100 (cyanobacteria)|AP018179.1|plasmid1 Plasmid|AP018178.1|ANONYMOUS Chromosome	102	0
593	Bacteria	Calothrix sp. NIES-3974 (cyanobacteria)	2017-06	1	5	48	|GCA_002368395.1|GCF_002368395.1|Calothrix sp. NIES-3974 (cyanobacteria)|AP018254.1|ANONYMOUS Chromosome	122	0
594	Bacteria	Calothrix sp. NIES-4071 (cyanobacteria)	2017-06	9	2	47	|GCA_002368455.1|GCF_002368455.1|Calothrix sp. NIES-4071 (cyanobacteria)|AP018263.1|plasmid8 Plasmid|AP018262.1|plasmid7 Plasmid|AP018261.1|plasmid6 Plasmid|AP018260.1|plasmid5 Plasmid|AP018259.1|plasmid4 Plasmid|AP018258.1|plasmid3 Plasmid|AP018257.1|plasmid2 Plasmid|AP018256.1|plasmid1 Plasmid|AP018255.1|ANONYMOUS Chromosome	238	0
595	Bacteria	Calothrix sp. NIES-4101 (cyanobacteria)	2017-06	6	1	14	|GCA_004296455.1||Calothrix sp. NIES-4101 (cyanobacteria)|AP018279.1|plasmid6 Plasmid|AP018278.1|plasmid5 Plasmid|AP018277.1|plasmid4 Plasmid|AP018276.1|plasmid3 Plasmid|AP018275.1|plasmid2 Plasmid|AP018280.1|ANONYMOUS Chromosome	37	0
596	Bacteria	Calothrix sp. NIES-4105 (cyanobacteria)	2017-06	8	2	47	|GCA_002368415.1|GCF_002368415.1|Calothrix sp. NIES-4105 (cyanobacteria)|AP018297.1|plasmid7 Plasmid|AP018296.1|plasmid6 Plasmid|AP018295.1|plasmid5 Plasmid|AP018294.1|plasmid4 Plasmid|AP018293.1|plasmid3 Plasmid|AP018292.1|plasmid2 Plasmid|AP018291.1|plasmid1 Plasmid|AP018290.1|ANONYMOUS Chromosome	238	0
597	Bacteria	Calothrix sp. PCC 6303 (cyanobacteria)	2012-12	4	1	24	|GCA_000317435.1|GCF_000317435.1|Calothrix sp. PCC 6303 (cyanobacteria)|CP003613.1|pCAL6303.03 Plasmid|CP003610.1|ANONYMOUS Chromosome|CP003612.1|pCAL6303.02 Plasmid|CP003611.1|pCAL6303.01 Plasmid	72	3
598	Bacteria	Calothrix sp. PCC 7507 (cyanobacteria)	2012-12	1	4	30	|GCA_000316575.1|GCF_000316575.1|Calothrix sp. PCC 7507 (cyanobacteria)|CP003943.1|ANONYMOUS Chromosome	336	0
599	Bacteria	Caminibacter mediatlanticus TB-2 (e-proteobacteria)	2019-05	1	3	7	|GCA_005843985.1||Caminibacter mediatlanticus TB-2 (e-proteobacteria)|CP040463.1|ANONYMOUS Chromosome	46	0
600	Bacteria	Campylobacter coli (e-proteobacteria) 14983A	2016-08	4	1	2	|GCA_001717605.1|GCF_001717605.1|Campylobacter coli (e-proteobacteria) 14983A|CP017025.1|ANONYMOUS Chromosome|CP017026.1|pCC14983A-1 Plasmid|CP017028.1|pCC14983A-3 Plasmid|CP017027.1|pCC14983A-2 Plasmid	22	0
601	Bacteria	Campylobacter coli (e-proteobacteria) BP3183	2016-11	2	1	2	|GCA_001865495.1|GCF_001865495.1|Campylobacter coli (e-proteobacteria) BP3183|CP017871.1|ANONYMOUS Chromosome|CP017872.1|pCCDM183 Plasmid	9	0
602	Bacteria	Campylobacter coli (e-proteobacteria) CFSAN054106	2018-04	2	2	4	|GCA_003030205.1|GCF_003030205.1|Campylobacter coli (e-proteobacteria) CFSAN054106|CP028188.1|pGMI16-001 Plasmid|CP028187.1|ANONYMOUS Chromosome	13	0
603	Bacteria	Campylobacter coli (e-proteobacteria) YH502	2017-01	2	1	1	|GCA_001936355.1|GCF_001936355.1|Campylobacter coli (e-proteobacteria) YH502|CP018901.1|pCOS502 Plasmid|CP018900.1|ANONYMOUS Chromosome	14	1
604	Bacteria	Campylobacter coli (e-proteobacteria) YH503	2017-12	2	1	1	|GCA_002843985.1|GCF_002843985.1|Campylobacter coli (e-proteobacteria) YH503|CP025281.1|ANONYMOUS Chromosome|CP025282.1|pCOS503 Plasmid	10	0
605	Bacteria	Campylobacter coli (e-proteobacteria) ZV1224	2016-11	3	2	3	|GCA_001865535.1|GCF_001865535.1|Campylobacter coli (e-proteobacteria) ZV1224|CP017875.1|ANONYMOUS Chromosome|CP017876.1|pCCDM224S Plasmid|CP017877.1|pCCDM224L Plasmid	8	1
606	Bacteria	Campylobacter coli RM4661 (e-proteobacteria)	2014-03	2	1	2	|GCA_000583775.1|GCF_000583775.1|Campylobacter coli RM4661 (e-proteobacteria)|CP007181.1|ANONYMOUS Chromosome|CP007182.1|pRM4661_48kbp Plasmid	15	0
607	Bacteria	Campylobacter concisus (e-proteobacteria) P2CDO4	2018-04	2	1	2	|GCA_003048375.1|GCF_003048375.1|Campylobacter concisus (e-proteobacteria) P2CDO4|CP021642.1|ANONYMOUS Chromosome|CP021643.1|pICON Plasmid	41	0
608	Bacteria	Campylobacter cuniculorum DSM 23162 = LMG 24588 (e-proteobacteria)	2017-04	3	1	3	|GCA_002104335.1|GCF_002104335.1|Campylobacter cuniculorum DSM 23162 = LMG 24588 (e-proteobacteria)|CP020868.1|pCUN1 Plasmid|CP020867.1|ANONYMOUS Chromosome|CP020869.1|pCUN2 Plasmid	18	1
609	Bacteria	Campylobacter curvus 525.92 (e-proteobacteria)	2016-09	1	1	3	|GCA_000017465.2|GCF_000017465.2|Campylobacter curvus 525.92 (e-proteobacteria)|CP000767.2|ANONYMOUS Chromosome	8	0
610	Bacteria	Campylobacter fetus subsp. fetus 04/554 (e-proteobacteria)	2014-09	2	1	1	|GCA_000759485.1|GCF_000759485.1|Campylobacter fetus subsp. fetus 04/554 (e-proteobacteria)|CP008808.1|ANONYMOUS Chromosome|CP008809.1|pCFF04554 Plasmid	5	1
611	Bacteria	Campylobacter fetus subsp. fetus 82-40 (e-proteobacteria)	2006-11	1	2	2	|GCA_000015085.1|GCF_000015085.1|Campylobacter fetus subsp. fetus 82-40 (e-proteobacteria)|CP000487.1|ANONYMOUS Chromosome	44	0
612	Bacteria	Campylobacter fetus subsp. fetus (e-proteobacteria) NCTC10842	2018-06	1	2	4	|GCA_900475935.1||Campylobacter fetus subsp. fetus (e-proteobacteria) NCTC10842|LS483431.1|ERS1234128SCcontig000001 Chromosome	50	0
613	Bacteria	Campylobacter fetus subsp. testudinum 03-427 (e-proteobacteria)	2013-11	1	2	4	|GCA_000495505.1|GCF_000495505.1|Campylobacter fetus subsp. testudinum 03-427 (e-proteobacteria)|CP006833.1|ANONYMOUS Chromosome	65	0
614	Bacteria	Campylobacter fetus subsp. testudinum (e-proteobacteria) 772	2018-03	1	2	6	|GCA_002973655.1|GCF_002973655.1|Campylobacter fetus subsp. testudinum (e-proteobacteria) 772|CP027287.1|ANONYMOUS Chromosome	84	0
615	Bacteria	Campylobacter fetus subsp. testudinum (e-proteobacteria) pet-3	2015-01	1	2	4	|GCA_000814265.1|GCF_000814265.1|Campylobacter fetus subsp. testudinum (e-proteobacteria) pet-3|CP009226.1|ANONYMOUS Chromosome	46	0
616	Bacteria	Campylobacter fetus subsp. testudinum Sp3 (e-proteobacteria) SP3	2016-01	1	2	5	|GCA_001484645.1|GCF_001484645.1|Campylobacter fetus subsp. testudinum Sp3 (e-proteobacteria) SP3|CP010953.1|ANONYMOUS Chromosome	59	0
617	Bacteria	Campylobacter fetus subsp. venerealis 97/608 (e-proteobacteria)	2014-09	3	1	2	|GCA_000759515.1|GCF_000759515.1|Campylobacter fetus subsp. venerealis 97/608 (e-proteobacteria)|CP008810.1|ANONYMOUS Chromosome|CP008812.1|pCFV97608-2 Plasmid|CP008811.1|pCFV97608-1 Plasmid	21	0
618	Bacteria	Campylobacter fetus subsp. venerealis cfvi03/293 (e-proteobacteria)	2016-09	4	1	3	|GCA_000512745.2|GCF_000512745.2|Campylobacter fetus subsp. venerealis cfvi03/293 (e-proteobacteria)|CP006999.2|ANONYMOUS Chromosome|CP007000.1|pCfviMP1 Plasmid|CP007001.1|pCfviMP2 Plasmid|CP007002.1|pCfviP3 Plasmid	3	0
619	Bacteria	Campylobacter fetus subsp. venerealis (e-proteobacteria) 01/165	2016-07	3	0	2	|GCA_001686885.1|GCF_001686885.1|Campylobacter fetus subsp. venerealis (e-proteobacteria) 01/165|CP014568.1|ANONYMOUS Chromosome|CP014569.1|mp1 Plasmid|CP014570.1|mp2 Plasmid	3	0
620	Bacteria	Campylobacter fetus subsp. venerealis NCTC 10354 (e-proteobacteria)	2011-08	1	0	2	|GCA_000222425.1|GCF_000222425.1|Campylobacter fetus subsp. venerealis NCTC 10354 (e-proteobacteria)|CM001228.1|CFV354 Chromosome	7	0
621	Bacteria	Campylobacter fetus subsp. venerealis str. 84-112 (e-proteobacteria)	2014-01	2	1	1	|GCA_000967135.1|GCF_000967135.1|Campylobacter fetus subsp. venerealis str. 84-112 (e-proteobacteria)|HG004427.1|II Plasmid|HG004426.1|I Chromosome	20	0
622	Bacteria	Campylobacter gracilis (e-proteobacteria) ATCC 33236	2015-08	1	3	8	|GCA_001190745.1|GCF_001190745.1|Campylobacter gracilis (e-proteobacteria) ATCC 33236|CP012196.1|ANONYMOUS Chromosome	43	0
623	Bacteria	Campylobacter hominis ATCC BAA-381 (e-proteobacteria)	2007-07	2	1	1	|GCA_000017585.1|GCF_000017585.1|Campylobacter hominis ATCC BAA-381 (e-proteobacteria)|CP000776.1|ANONYMOUS Chromosome|CP000775.1|pCH4 Plasmid	68	1
624	Bacteria	Campylobacter hyointestinalis subsp. hyointestinalis (e-proteobacteria) S12	2019-05	2	2	3	|GCA_005844045.1||Campylobacter hyointestinalis subsp. hyointestinalis (e-proteobacteria) S12|CP040465.1|pCh1 Plasmid|CP040464.1|ANONYMOUS Chromosome	65	1
625	Bacteria	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260 (e-proteobacteria)	2016-05	1	2	1	|GCA_001643955.1|GCF_001643955.1|Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260 (e-proteobacteria)|CP015575.1|ANONYMOUS Chromosome	112	0
626	Bacteria	Campylobacter iguaniorum (e-proteobacteria) 1485E	2014-07	2	2	7	|GCA_000736415.1|GCF_000736415.1|Campylobacter iguaniorum (e-proteobacteria) 1485E|CP009043.1|ANONYMOUS Chromosome|CP009044.1|pCIG1485E Plasmid	235	0
627	Bacteria	Campylobacter iguaniorum (e-proteobacteria) 2463D	2016-01	1	1	3	|GCA_001483985.1|GCF_001483985.1|Campylobacter iguaniorum (e-proteobacteria) 2463D|CP010995.1|ANONYMOUS Chromosome	7	0
628	Bacteria	Campylobacter iguaniorum (e-proteobacteria) RM11343	2016-05	1	0	4	|GCA_001643995.1|GCF_001643995.1|Campylobacter iguaniorum (e-proteobacteria) RM11343|CP015577.1|ANONYMOUS Chromosome	18	1
629	Bacteria	Campylobacter jejuni 32488 (e-proteobacteria)	2013-07	1	1	1	|GCA_000430385.1|GCF_000430385.1|Campylobacter jejuni 32488 (e-proteobacteria)|CP006006.1|ANONYMOUS Chromosome	1	0
630	Bacteria	Campylobacter jejuni 4031 (e-proteobacteria)	2013-10	1	1	2	|GCA_000493495.1|GCF_000493495.1|Campylobacter jejuni 4031 (e-proteobacteria)|HG428754.1|I Chromosome	4	0
631	Bacteria	Campylobacter jejuni (e-proteobacteria) 104	2017-09	1	1	2	|GCA_002312965.1||Campylobacter jejuni (e-proteobacteria) 104|CP023343.1|ANONYMOUS Chromosome	3	0
632	Bacteria	Campylobacter jejuni (e-proteobacteria) 11168H/araE	2017-08	1	1	2	|GCA_002238375.1|GCF_002238375.1|Campylobacter jejuni (e-proteobacteria) 11168H/araE|CP022559.1|ANONYMOUS Chromosome	4	0
633	Bacteria	Campylobacter jejuni (e-proteobacteria) 11168H/lacY	2017-07	1	1	2	|GCA_002224325.1|GCF_002224325.1|Campylobacter jejuni (e-proteobacteria) 11168H/lacY|CP022439.1|ANONYMOUS Chromosome	4	0
634	Bacteria	Campylobacter jejuni (e-proteobacteria) CFSAN032806	2017-10	2	1	2	|GCA_002407125.1|GCF_002407125.1|Campylobacter jejuni (e-proteobacteria) CFSAN032806|CP023544.1|pCFSAN032806 Plasmid|CP023543.1|ANONYMOUS Chromosome	7	0
635	Bacteria	Campylobacter jejuni (e-proteobacteria) CJ018CCUA	2018-08	1	1	1	|GCA_003368225.1||Campylobacter jejuni (e-proteobacteria) CJ018CCUA|CP012221.1|ANONYMOUS Chromosome	6	0
636	Bacteria	Campylobacter jejuni (e-proteobacteria) CJ031CC45	2018-08	1	1	2	|GCA_003368085.1||Campylobacter jejuni (e-proteobacteria) CJ031CC45|CP012211.1|ANONYMOUS Chromosome	2	0
637	Bacteria	Campylobacter jejuni (e-proteobacteria) CJ066CC508	2018-08	1	1	2	|GCA_003368245.1||Campylobacter jejuni (e-proteobacteria) CJ066CC508|CP012224.1|ANONYMOUS Chromosome	2	0
638	Bacteria	Campylobacter jejuni (e-proteobacteria) CJ067CC45	2018-08	1	2	6	|GCA_003368045.1||Campylobacter jejuni (e-proteobacteria) CJ067CC45|CP012206.1|ANONYMOUS Chromosome	3	0
639	Bacteria	Campylobacter jejuni (e-proteobacteria) CJ088CC52	2018-08	1	1	2	|GCA_003368145.1||Campylobacter jejuni (e-proteobacteria) CJ088CC52|CP012214.1|ANONYMOUS Chromosome	2	0
640	Bacteria	Campylobacter jejuni (e-proteobacteria) CJ090CC1332	2018-08	1	1	2	|GCA_003368205.1||Campylobacter jejuni (e-proteobacteria) CJ090CC1332|CP012220.1|ANONYMOUS Chromosome	2	0
